Nome original;Nome traduzido;Gênero;País;Ocupação;Mini‑biografia e observações
Mansour Othman M. ABAHUSSAIN;Mansour Othman M. Abahussain;Masculino;Arábia Saudita;Major-General, gabinete do príncipe herdeiro;"Oficial sênior saudita, work generic crown‑prince office; envolvido no assassinato de Jamal Khashoggi em Istambul (2 out 2018), participação na ocultação de evidências. Foi sancionado pelos EUA na lista Global Magnitsky Federal Register, Sanções Lursoft, Controle de Ativos Estrangeiros, 5Pillars."
Dmytro ABAKUMOV;Dmytro Abakumov;Masculino;Ucrânia;Indivíduo sancionado (corrupção);"Segundo lista SDN do OFAC (Estados Unidos, 9 dez 2024), Dmytro Abakumov é cidadão ucraniano, nascido em 14 jul 1992 em Chutove, descrito como ""courier"" e operador financeiro vinculado a casos de corrupção internacional Busca de SançõesU.S. Department of the TreasuryControle de Ativos Estrangeiros."
Benazir AHMED;Benazir Ahmed;Masculino;Bangladesh;Ex‑inspetor‑geral de polícia (IGP);"Serviu de 2020 a 2022 como IGP do Bangladesh Police; foi diretor‑geral da RAB (2015‑2020). Desde dezembro de 2021, sancionado pelos EUA devido a desaparecimentos forçados; alvo de investigações por corrupção e abuso de poder, com congelamento de bens, mandato da Interpol emitido em fevereiro 2025 WikipediaNew AgeThe Business StandardDaily Country TodayThe Daily StarProthomalodaily-sun."
Kur AJING ATER;Kur Ajing Ater (Ajing Ater);Masculino;Sudão do Sul;Empresário / oligarca;Empresário sul‑sudanês, nascido em 2 jan 1962, envolvido em contratos públicos fraudulentos. Sancionado em outubro de 2019 pelo OFAC por corrupção, propinas e fraude em compras governamentais junto a altos oficiais do país Sanções LursoftBrief KharonU.S. Department of the Treasurysudanspost.comthesentry.org.
Ahmad Hassan Mohammed AL ASIRI;Ahmad Hassan Mohammed al Asiri;Masculino;Arábia Saudita;Major-General, inteligência;"General da inteligência saudita e ex‑porta‑voz da coalizão na Síria/Iêmen. Foi o principal responsável por planejar e encomendar a operação que levou ao assassinato de Jamal Khashoggi, incluindo coordenação da equipe de 15 homens em Istambul (2 out 2018); sancionado pelos EUA WikipediaU.S. Department of the TreasuryControle de Ativos EstrangeirosSanções Fontes: Lursoft Reuters."
Mohammad Jahangir ALAM;Mohammad Jahangir Alam;Masculino;Bangladesh;Major-General / Chefe da DGFI;"Nascido em 28 nov 1970 (ou 1973 em outras fontes), é General do Exército de Bangladesh e, desde outubro de 2024, diretor‑geral da inteligência militar (DGFI). Foi comandante de divisões e brigadas, premiado com BSP; anteriormente serviu na RAB com sanções de direitos humanos dos EUA aplicadas a oficiais envolvidos Fontes: Wikipedia Wikipedia Wikipedia Wikipedia Wikipedia."
Naif Hassan S. ALARIFI;Naif Hassan S. Alarifi;Masculino;Arábia Saudita;Primeiro-tenente, inteligência externa;"Integrante da equipe enviada ao consulado saudita em Istambul que participou do assassinato de Khashoggi; envolvido na ocultação de evidências. Sancionado pela lista Global Magnitsky dos EUA Sanções Fontes: Lursoft5 Pillars."
Fahad Shabib A. ALBALAWI;Fahad Shabib A. Albalawi;Masculino;Arábia Saudita;Guarda Real saudita;Membro da Guarda Real saudita diretamente envolvido na execução de Jamal Khashoggi dentro do consulado em Istambul em 2 out 2018. Foi condenado na Arábia Saudita e sancionado pelos EUA pibisi.comWikipediaReutersSanções Fontes: Lursoftnewyorker.com.
Meshal Saad M. ALBOSTANI;Meshal Saad M. Albostani;?;?;—;Conforme mencionado em relação à equipe saudita enviada a Istambul para o assassinato de Khashoggi, Meshal Saad M. Albostani estaria entre os acusados ou envolvidos. Informação limitada. Não encontrei perfil detalhado ou ocupação específica.
Ashraf Seed Ahmed AL-CARDINAL;Ashraf Seed Ahmed Al-Cardinal;Masculino;Sudão do Sul;Empresário;Empresário sul‑sudanês sancionado pelo OFAC em outubro de 2019 junto com Kur Ajing Ater, por envolvimento em corrupção, propinas e fraudes em contratos com o governo sul‑sudanês U.S. Department of the TreasuryBrief Fontes: Kharonoccrp.org.
Gustavo Adolfo ALEJOS CAMBARA;Gustavo Adolfo Alejos Cámbara;Masculino;Guatemala;Ex-chefe de gabinete presidencial;"Ex-secretário privado do presidente Álvaro Colom (2008–2012). Em 2021, foi sancionado pelos EUA (OFAC SDN List) por envolvimento em corrupção e tentativa de manipular o processo de escolha de juízes na Suprema Corte State.gov, Controle de Ativos Estrangeiros, Embaixada dos EUA em Goiás, Facebook, 9Embaixada dos EUA em Goiás, 9U.S. Department of the Treasury, 9. Em 2023–2024, condenado no caso ""Negociantes da Saúde"" com penas entre um a oito anos Prensa Libre, 1Plaza Pública, 1."
Felipe ALEJOS LORENZANA;Felipe Alejos Lorenzana;Masculino;Guatemala;Deputado e vice‑presidente do Congresso;Deputado no Congresso (2020–2024), vice-presidente da diretoria. Sancionado pelos EUA e Reino Unido por corrupção: oferecia facilitação de devolução de créditos fiscais em troca de propinas e tinha influência nas nomeações judiciais para assegurar impunidade U.S. Department of the TreasurySanções LursoftGOV.UKHuman Rights Watch.
Falih AL-FAYYADH;Falih Al‑Fayyadh;Masculino;Iraque;"Político, presidente da Comissão de Mobilização Popular; ex-conselheiro de Segurança Nacional";Nascido em Bagdá em março de 1956, engenheiro de formação. Foi conselheiro de segurança nacional (2009–2020) e preside a PMC desde 2016. Fundador do movimento político Ataa. Em janeiro de 2021, sancionado pelos EUA por graves abusos de direitos humanos contra manifestantes iraquianos, incluindo uso de força letal pela milícia vinculada a ele en.wikipedia.orgU.S. Department of the Fontes: Treasuryhoover.org State.gov.
Thaar Ghaleb T. ALHARBI;Thaar Ghaleb T. Alharbi;Masculino;Arábia Saudita;Tenente (força de segurança não especificada);Integrante da equipe de 15 membros enviada por autoridades sauditas ao consulado em Istambul durante o assassinato de Jamal Khashoggi (2 out 2018). Ele participou da operação e da ocultação de evidências. Sancionado pela lista Global Magnitsky dos EUA Controle de Ativos EstrangeirosSanções Lursoftsanctions-finder.comaa.com.tr.
Abdulaziz Mohammed M. ALHAWSAWI;Abdulaziz Mohammed M. Al‑Hawsawi;Masculino;Arábia Saudita;Agente de segurança real;Membro da equipe de segurança do príncipe herdeiro e integrante direta da operação que matou Khashoggi em Istambul. Envolvido na ocultação de provas no consulado. Sancionado pelos EUA Controle de Ativos EstrangeirosSanções Lursoftreuters.comSanções Lursoft.
Khamis Farhan Al-Khanjar AL-ISSAWI;Khamis Farhan Al-Khanjar Al‑Issawi;Masculino;Iraque;Empresário bilionário;Figura poderosa na política iraquiana, com grande influência regional. Sancionado pelos EUA em dezembro de 2019 por corrupção: pagava milhões em subornos para influenciar políticos e garantir apoio, prejudicando o interesse público U.S. Department of the Fontes: Treasury State.gov SANCTIONS WATCH Busca de Sanções.
Ahmad Abdullah AL-JUBOURI;Ahmad Abdullah al-Jubouri (também conhecido como Abu Mazin);Masculino;Iraque;Político, ex-governador de Salah al-Din;Foi sancionado pelo Departamento do Tesouro dos EUA por corrupção. Acusado de desviar fundos públicos destinados à reconstrução da província de Salah al-Din após a ocupação do Estado Islâmico. Segundo o Departamento de Estado dos EUA, al-Jubouri teria usado sua posição para favorecer empresas associadas a ele em contratos governamentais, além de intimidar oponentes políticos.
Mohamed AL-KANI;Mohamed Al‑Kani;Masculino;Líbia;Líder de milícia (Kaniyat);Líder da milícia Kaniyat (antiga Brigada Tarhouna), responsável por desaparecimentos forçados, tortura e assassinatos de civis em massa na Líbia. Sancionado pela OFAC e Reino Unido por graves violações de direitos humanos, incluindo descobertas de várias valas comuns em Tarhouna Busca de SançõesControle de Ativos EstrangeirosSanções LursoftU.S. Department of the Fontes: Treasuryapnews.com.
Abdul Hakim AL-KHAIWANI;Abdul Hakim Al‑Khaiwani;—;—;—;Informação não encontrada ou insuficiente para estabelecer gênero, país ou ocupação de forma confiável.
Laith AL-KHAZALI;Laith Al‑Khazali;Masculino;Iraque;Líder miliciano?;"Membro da liderança das milícias no Iraque; sancionado pelos EUA por envolvimento em graves abusos contra direitos humanos durante operações da Popular Mobilization Forces, junto com Qais e Husayn al‑Lami U.S. Department of the Treasury."
Qais AL-KHAZALI;Qais Al‑Khazali;Masculino;Iraque;Líder da milícia Asa’ib Ahl al‑Haqq;"Secretário-geral da Asa’ib Ahl al‑Haqq. Sanção dos EUA (6 dez 2019) por envolvimento em repressão violenta a manifestantes em protestos iraquianos (uso de força letal contra civis) The Guardian, 13The Iran Primer, 13Busca de Sanções, 13Busca de Sanções, U.S. Department of the Treasury, mecra, Al Jazeera. Nascido em 20 jun 1974, em Bagdá; fundador emergente após divisão da Mahdi Army Federal Register, 2mecra, 2Controle de Ativos Estrangeiros, 2."
Rayan AL-KILDANI;Rayan Al‑Kildani;Masculino;Iraque;Político / Miliciano;Secretário-geral do movimento Babilônia (Babylon Movement) e comandante da milícia Babylon Brigade, grupo assírio-chaldeu apoiado pelo Irã. Acusado de remover líderes cristãos locais e impor influências políticas sectárias nos Planícies de Nínive WikipediaVoice of Americagenocidewatch.
Hussein Falah AL-LAMI;Hussein Falah ‘Aziz Al‑Lami;Masculino;Iraque;Chefe de segurança das PMF;Chefe da Central Security Directorate dentro da Popular Mobilization Forces. Sanção dos EUA em 2019 por ordem executiva por uso de sniper e assassinatos contra manifestantes pacíficos .
Mustafa Mohammed M. ALMADANI;Mustafa Mohammed M. Almadani;Masculino;Arábia Saudita;Oficial da inteligência saudita;Sanção pelo programa Global Magnitsky (OFAC) em 31 dez 2019 como participante da equipe envolvida no assassinato de Jamal Khashoggi (e ocultação de evidências) . Nascido em 8 dez 1961 (Riyadh/Meca).
